INFO 2024-09-18 18:56:29,220 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-18 18:56:29,221 autoreload Waiting for apps ready_event.
DEBUG 2024-09-18 18:56:29,244 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-18 18:56:29,248 autoreload Watching dir /usr/local/lib/python3.9/site-packages/two_factor/templates with glob **/*.
DEBUG 2024-09-18 18:56:29,249 autoreload Watching dir /usr/local/lib/python3.9/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-09-18 18:56:29,249 autoreload Watching dir /usr/local/lib/python3.9/site-packages/django_otp/plugins/otp_totp/templates with glob **/*.
DEBUG 2024-09-18 18:56:29,255 autoreload Watching dir /usr/local/lib/python3.9/site-packages/django_otp/templates with glob **/*.
DEBUG 2024-09-18 18:56:29,258 autoreload Watching dir /app/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,262 autoreload Watching dir /usr/local/lib/python3.9/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,262 autoreload Watching dir /usr/local/lib/python3.9/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,262 autoreload Watching dir /usr/local/lib/python3.9/site-packages/django_otp/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,262 autoreload Watching dir /usr/local/lib/python3.9/site-packages/django_otp/plugins/otp_static/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,263 autoreload Watching dir /usr/local/lib/python3.9/site-packages/django_otp/plugins/otp_totp/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,263 autoreload Watching dir /usr/local/lib/python3.9/site-packages/two_factor/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,265 autoreload Watching dir /usr/local/lib/python3.9/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,266 autoreload Watching dir /usr/local/lib/python3.9/site-packages/sslserver/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,267 autoreload Watching dir /usr/local/lib/python3.9/site-packages/csp/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,267 autoreload Watching dir /usr/local/lib/python3.9/site-packages/social_django/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,268 autoreload Watching dir /app/project/locale with glob **/*.mo.
DEBUG 2024-09-18 18:56:29,295 autoreload File /usr/local/lib/python3.9/site-packages/psycopg2/errorcodes.py first seen with mtime 1726700824.666146
DEBUG 2024-09-18 18:56:29,295 autoreload File /usr/local/lib/python3.9/site-packages/urllib3/poolmanager.py first seen with mtime 1726700824.496146
DEBUG 2024-09-18 18:56:29,296 autoreload File /usr/local/lib/python3.9/site-packages/psycopg2/extras.py first seen with mtime 1726700824.667146
DEBUG 2024-09-18 18:56:29,296 autoreload File /usr/local/lib/python3.9/lib-dynload/_datetime.cpython-39-aarch64-linux-gnu.so first seen with mtime 1726190696.0
